,title,count,,,,,,,,,,,,,,,,,,,,,,,
定义,定义,997,是,8,概念,5,理论,3,是指,,概念和意义,,含义与作用,,概述,,基本概念及其含义,,概论,,,,,,
,意义,14,概念和意义,8,含义,8,机制的意义,2,,,,,,,,,,,,,,,,,
,性质,基本性质,业务性质,,,,,,,,,,,,,,,,,,,,,,
,来源,4,本质来源,1,来由,1,,,,,,,,,,,,,,,,,,,
,解释,2,阐释,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,实质,2,本质上,1,在本质上,1,本质,1,,,,,,,,,,,,,,,,,
,起源,,信息来源,,三大来源,,,,,,,,,,,,,,,,,,,,
,背景,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,基本内涵：,,,,,,,,,,,,,,,,,,,,,,,,
名称,英语,178,英文,14,英文名,6,英文缩写,5,英文全称,1,,,,,,,,,,,,,,,
,近义词,52,同义词,27,别称,7,简称,7,又称,6,别名,3,称呼,1,全称,,缩写,,,,,,,,
,中文,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
特性,特点,特征,投资特点,层次特点,基本特点,交易特点,产品特点,显著特征,行为特征,基本特征,特性,,,,,,,,,,,,,,
,优点,18,优势,11,好处,4,主要优点,1,投资的优点,,,,,,,,,,,,,,,,
,缺点,6,缺陷,2,弊端,1,不利之处,1,劣势,,弱点,,,,,,,,,,,,,,
,要点,4,主要著述,1,重要要点,1,基本要点,1,重要事项,,核心,,重点,,研究重点,,评估重点,,必须记住的话,,投资要点,,,,
,要求,6,操作的基本要求,,法律要求,,操作的基本要求,,有关规定具体要求,,监管要求,,,,,,,,,,,,,,
,难点,1,,,,,,,,,,,,,,,,,,,,,,,
,具体表现,3,具体表现包括,1,主要表现,1,,,,,,,,,,,,,,,,,,,
,影响因素,7,影响,6,反映,5,要素,5,决定因素,4,基本要素,3,价格决定因素,2,六要素,1,取决因素,1,考虑因素,2,生成因素,1,相关要素,其他影响因素,最主要的衡量因素
比较,相同点,,共同点,,,,,,,,,,,,,,,,,,,,,,
,区别,3,差异,1,不相同,1,,,,,,,,,,,,,,,,,,,
分类,包括,50,包含,2,主要包括,1,主要包括三个方面,1,内容包括,,分析包括,,具体包括,,,,,,,,,,,,
,种类,32,类型,15,分类,58,险种,12,类别,7,分为,2,风险类别,1,分类举例,,主要种类,,主要类别,,主要品种,,划分形式,,
,内容,37,描述,12,简介,9,主要内容,7,阐述,6,内容包括,3,介绍,3,概要,1,基本内容,2,特别内容,1,分析内容,1,涉及内容,具体内容,核心内容
,组成,9,构成要素,4,形成,3,构成元素,2,构成因素,1,构成主体,1,构成方式,1,构成,1,构成条件,2,形成过程,1,如何形成的,1,形成原因,构成方式,
,形态,8,形式,8,情形,,,,,,,,,,,,,,,,,,,,
,层次,,两个层次,,主要层级,,,,,,,,,,,,,,,,,,,,
运用,作用,32,用处,1,含义与作用,,基本应用,,功能与作用,,,,,,,,,,,,,,,,
,功能,13,基本功能,7,主要功能,2,功能与作用,1,基础功能,2,,,,,,,,,,,,,,,
,应用,7,基本运用,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
指导操作,方式,方法,分析方法,主要形式为,两种方式,方法和步骤,基本形式,最主要的形式,主要方法,最好的方法,具体方法,研究方法,基本研究方法,方法变更,应对方法,组合的方法,具体操作方法,主要分析方法,组织方式,提供方式,实施方式,构成方式,手段,可以采取的措施,策略
,步骤,6,流程,5,环节,5,基本流程,,,,,,,,,,,,,,,,,,
,特别注意,18,注意事项,8,注意点,4,注意,2,关注,1,该注意的问题,1,注意因素,,内容注意点,,需要注意,,运用注意,,要注意的三个特征,,需要注意的问题,,
,选择,4,如何选择,2,选择方法,2,最优选择,1,选择考虑的方面,1,选择的原则,1,挑选应该考虑的因素,1,主要考虑,,应考虑,,,,,,,,
,方向,4,,,,,,,,,,,,,,,,,,,,,,,
,操作,4,具体操作,2,操作4阶段,1,操作的基本要求,1,操作策略,1,操作事项,1,基本操作,1,运作机制,,,,,,,,,,
,分析,2,分析包括,,三个维度分析,,分析方法,,分析内容,,主要分析方法,,,,,,,,,,,,,,
,用法,1,,,,,,,,,,,,,,,,,,,,,,,
,工具,1,考察的常见工具,,,,,,,,,,,,,,,,,,,,,,
,信号,1,,,,,,,,,,,,,,,,,,,,,,,
,攻略,,建议,,,,,,,,,,,,,,,,,,,,,,
,误区,2,购买误区,,常见误区还有,,误用,,,,,,,,,,,,,,,,,,
,戒律,,不得有以下行为,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
职能权利,职能,6,主要职责,5,主要职能,2,职责规范,2,基本职能,1,履行的职责,,,,,,,,,,,,,,
,义务,5,主要义务,2,,,,,,,,,,,,,,,,,,,,,
,权利,5,,,,,,,,,,,,,,,,,,,,,,,
,职权,3,,,,,,,,,,,,,,,,,,,,,,,
规章制度,特别规定,,规定条件,,规定,,,,,,,,,,,,,,,,,,,,
,赔偿,4,,,,,,,,,,,,,,,,,,,,,,,
,规律,2,,,,,,,,,,,,,,,,,,,,,,,
,相关规则,3,基本规则,,,,,,,,,,,,,,,,,,,,,,
,依据,3,划分依据,2,衡量依据,1,最主要的衡量因素,,衡量最大标准,,标准,,基本标准,,,,,,,,,,,,
趋势,阶段,2,几个阶段,2,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,现状,2,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,前景,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,形势,1,,,,,,,,,,,,,,,,,,,,,,,
,兴起,1,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
连接词,具体而言,,具体地说,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,简单地说,,简言之,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,职责,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
关系,联系,,,,,,,,,,,,,,,,,,,,,,,,
,界定,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,根源,,,,,,,,,,,,,,,,,,,,,,,
,,成因,,,,,,,,,,,,,,,,,,,,,,,
,定位,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
结果导向,目的,12,目标,6,研究目的,,考察目的,,目的与宗旨,,,,,,,,,,,,,,,,
,收益,3,收益情况,2,,,,,,,,,,,,,,,,,,,,,
,后果,得出,得出,,,,,,,,,,,,,,,,,,,,,,
经典,名言,,,,,,,,,,,,,,,,,,,,,,,,
,著作,,,,,,,,,,,,,,,,,,,,,,,,
适用情形,范围,3,适用范围,,主要业务范围,,责任范围,,经营范围,,范畴,,,,,,,,,,,,,,
,适用情形,3,适用于,2,适用范围,2,适用情况,1,主要适用,1,适用情景,1,应用于,1,用来,1,主要用于,1,用途,,,,,,
条件,条件,5,成立条件,4,第一个条件,1,具备条件,1,确立条件,1,规定条件,,构成条件,,设立条件,,前提条件,,优先条件,,,,,,
,前提条件,2,假设前提,1,前提,1,基本前提,1,前奏,1,,,,,,,,,,,,,,,
理论观点,观点,2,评价,2,理念,,核心观点,,,,,,,,,,,,,,,,,,
,主要理论,,基本理论,,,,,,,,,,,,,,,,,,,,,,
原则,原则,10,基本原则,7,交易原则,2,内容的基本原则,1,选择的原则,,指导原则,,相关原则,,目标确定的原则,,首要原则,,执行原则,,四大基本原则,,,,
,基本原理,3,四个原理,1,原理,1,,,,,,,,,,,,,,,,,,,
原因,原因,4,取决于,4,产生原因,2,形成原因,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
举例,举例,13,例子,4,分类举例,1,案例,1,其他方式举例,,例外情况,,极端例子,,,,,,,,,,,,
风险,风险,11,主要风险,2,,,,,,,,,,,,,,,,,,,,,
公式,公式,20,计算公式,7,计算,6,计算方法,4,计算公式为：,2,,,,,,,,,,,,,,,
附注,附注,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
